Column1;Column2;Column3;Column32;Column4
U$201;166.50;70.39;Bottom;0
U$202;169.30;66.29;Bottom;0
U$203;177.30;71.10;Bottom;270
U$204;177.00;64.70;Bottom;270
U$207;180.20;62.80;Bottom;90
U$208;171.40;74.80;Bottom;0
U$209;183.90;63.00;Bottom;180
U$210;168.80;72.80;Bottom;90
U$211;181.20;85.50;Bottom;180
U$212;171.91;82.60;Bottom;270
U$213;171.19;87.40;Bottom;90
U$215;169.30;82.69;Bottom;0
U$216;177.00;81.10;Bottom;270
U$218;180.20;79.20;Bottom;90
U$219;183.90;79.40;Bottom;180
U$221;196.90;58.40;Bottom;0
U$222;209.40;46.60;Bottom;180
U$223;194.30;56.40;Bottom;90
U$224;206.70;69.10;Bottom;180
U$225;197.41;66.20;Bottom;270
U$226;196.69;71.00;Bottom;90
U$229;192.00;70.39;Bottom;0
U$230;194.80;66.29;Bottom;0
U$231;202.80;71.10;Bottom;270
U$232;202.50;64.70;Bottom;270
U$235;205.70;62.80;Bottom;90
U$236;196.90;74.80;Bottom;0
U$237;209.40;63.00;Bottom;180
U$238;194.30;72.80;Bottom;90
U$239;206.70;85.50;Bottom;180
U$240;197.41;82.60;Bottom;270
U$241;196.69;87.40;Bottom;90
U$243;194.80;82.69;Bottom;0
U$244;202.50;81.10;Bottom;270
U$246;205.70;79.20;Bottom;90
U$247;209.40;79.40;Bottom;180
U$249;232.20;20.10;Bottom;180
U$250;222.91;17.20;Bottom;270
U$251;222.19;22.00;Bottom;90
U$254;217.50;21.39;Bottom;0
U$255;220.30;17.29;Bottom;0
U$256;228.30;22.10;Bottom;270
U$257;228.00;15.70;Bottom;270
U$260;222.40;25.80;Bottom;0
U$261;219.80;23.80;Bottom;90
U$262;232.20;36.30;Bottom;180
U$263;222.91;33.40;Bottom;270
U$264;222.19;38.20;Bottom;90
U$267;217.50;37.59;Bottom;0
U$268;220.30;33.49;Bottom;0
U$269;228.30;38.30;Bottom;270
U$270;228.00;31.90;Bottom;270
U$273;231.20;30.00;Bottom;90
U$274;222.40;42.00;Bottom;0
U$275;234.90;30.20;Bottom;180
U$276;219.80;40.00;Bottom;90
U$277;232.20;52.70;Bottom;180
U$278;222.91;49.80;Bottom;270
U$279;222.19;54.60;Bottom;90
U$282;217.50;53.99;Bottom;0
U$283;220.30;49.89;Bottom;0
U$284;228.30;54.70;Bottom;270
U$285;228.00;48.30;Bottom;270
U$288;231.20;46.40;Bottom;90
U$289;222.40;58.40;Bottom;0
U$290;234.90;46.60;Bottom;180
U$291;219.80;56.40;Bottom;90
U$292;232.20;69.10;Bottom;180
U$293;222.91;66.20;Bottom;270
U$294;222.19;71.00;Bottom;90
U$297;217.50;70.39;Bottom;0
U$298;220.30;66.29;Bottom;0
U$299;228.30;71.10;Bottom;270
U$300;228.00;64.70;Bottom;270
U$303;231.20;62.80;Bottom;90
U$304;222.40;74.80;Bottom;0
U$305;234.90;63.00;Bottom;180
U$306;219.80;72.80;Bottom;90
U$307;232.20;85.50;Bottom;180
U$308;222.91;82.60;Bottom;270
U$309;222.19;87.40;Bottom;90
U$311;220.30;82.69;Bottom;0
U$312;228.00;81.10;Bottom;270
U$314;231.20;79.20;Bottom;90
U$315;234.90;79.40;Bottom;180
U$331;119.10;80.00;Bottom;270
U$332;132.01;79.60;Bottom;270
U$335;119.10;70.00;Bottom;270
U$336;132.01;69.60;Bottom;270
U$339;119.10;60.00;Bottom;270
U$340;132.01;59.60;Bottom;270
