Column1;Column2;Column3;Column32;Column4
R352;56.10;49.50;Top;90
R353;54.50;49.50;Top;90
R354;57.70;49.50;Top;90
R355;56.10;67.10;Top;270
R356;57.70;67.10;Top;270
R357;54.50;67.10;Top;270
R358;64.30;49.50;Top;90
R359;62.70;49.50;Top;90
R360;65.90;49.50;Top;90
R361;64.30;67.10;Top;270
R362;65.90;67.10;Top;270
R363;62.70;67.10;Top;270
R364;72.40;49.50;Top;90
R365;70.80;49.50;Top;90
R366;74.00;49.50;Top;90
R367;72.40;67.10;Top;270
R368;74.00;67.10;Top;270
R369;70.80;67.10;Top;270
R370;80.30;49.50;Top;90
R371;78.70;49.50;Top;90
R372;81.90;49.50;Top;90
R373;80.30;67.10;Top;270
R374;81.90;67.10;Top;270
R375;78.70;67.10;Top;270
U$7;195.73;23.64;Top;180
U$8;195.73;15.55;Top;180
U$24;15.80;7.30;Top;180
U$26;15.80;17.40;Top;180
U$28;15.80;27.50;Top;180
U$30;15.80;37.60;Top;180
U$32;206.40;23.80;Top;180
U$33;206.50;15.60;Top;180
U$38;35.80;7.30;Top;180
U$40;35.80;17.40;Top;180
U$44;35.80;27.50;Top;180
U$60;195.73;39.84;Top;180
U$61;195.73;31.75;Top;180
U$65;55.80;7.30;Top;180
U$67;55.80;17.40;Top;180
U$69;55.80;27.50;Top;180
U$72;206.40;40.00;Top;180
U$73;206.50;31.80;Top;180
U$88;7.60;54.20;Top;90
U$90;7.60;62.40;Top;270
U$92;75.80;7.30;Top;180
U$94;75.80;17.40;Top;180
U$96;75.80;27.50;Top;180
U$102;195.73;56.24;Top;180
U$104;95.80;7.30;Top;180
U$107;15.70;54.20;Top;90
U$109;15.70;62.40;Top;270
U$111;23.90;54.20;Top;90
U$113;23.90;62.40;Top;270
U$115;32.00;54.20;Top;90
U$117;32.00;62.40;Top;270
U$119;39.90;54.20;Top;90
U$121;95.80;17.40;Top;180
U$123;95.80;27.50;Top;180
U$124;195.73;48.15;Top;180
U$129;115.80;7.30;Top;180
U$131;115.80;17.40;Top;180
U$133;206.40;56.40;Top;180
U$134;206.50;48.20;Top;180
U$136;39.90;62.40;Top;270
U$138;48.00;54.20;Top;90
U$141;135.80;7.30;Top;180
U$142;48.00;62.40;Top;270
U$145;135.80;17.40;Top;180
U$146;56.10;54.20;Top;90
U$149;56.10;62.40;Top;270
U$152;148.10;15.40;Top;270
U$154;170.23;23.64;Top;180
U$156;157.30;15.40;Top;270
U$157;170.23;15.55;Top;180
U$162;180.90;23.80;Top;180
U$163;181.00;15.60;Top;180
U$169;170.23;39.84;Top;180
U$170;170.23;31.75;Top;180
U$175;180.90;40.00;Top;180
U$176;181.00;31.80;Top;180
U$184;170.23;56.24;Top;180
U$185;170.23;48.15;Top;180
U$190;180.90;56.40;Top;180
U$191;181.00;48.20;Top;180
U$199;170.23;72.64;Top;180
U$200;170.23;64.55;Top;180
U$205;180.90;72.80;Top;180
U$206;181.00;64.60;Top;180
U$214;170.23;80.95;Top;180
U$217;181.00;81.00;Top;180
U$220;181.03;7.27;Top;0
U$227;195.73;72.64;Top;180
U$228;195.73;64.55;Top;180
U$233;206.40;72.80;Top;180
U$234;206.50;64.60;Top;180
U$242;195.73;80.95;Top;180
U$245;206.50;81.00;Top;180
U$248;206.53;7.27;Top;0
U$252;221.23;23.64;Top;180
U$253;221.23;15.55;Top;180
U$258;231.90;23.80;Top;180
U$259;232.00;15.60;Top;180
U$265;221.23;39.84;Top;180
U$266;221.23;31.75;Top;180
U$271;231.90;40.00;Top;180
U$272;232.00;31.80;Top;180
U$280;221.23;56.24;Top;180
U$281;221.23;48.15;Top;180
U$286;231.90;56.40;Top;180
U$287;232.00;48.20;Top;180
U$295;221.23;72.64;Top;180
U$296;221.23;64.55;Top;180
U$301;231.90;72.80;Top;180
U$302;232.00;64.60;Top;180
U$310;221.23;80.95;Top;180
U$313;232.00;81.00;Top;180
U$316;232.03;7.27;Top;0
U$318;64.30;54.20;Top;90
U$320;64.30;62.40;Top;270
U$322;72.40;54.20;Top;90
U$324;72.40;62.40;Top;270
U$326;80.30;54.20;Top;90
U$328;80.30;62.40;Top;270
